date,symbol,marketcapname,sector
06-01-2025 12:07 pm,BATAINDIA,Midcap,FMCG
06-01-2025 12:07 pm,SAIL,Largecap,Metals
06-01-2025 12:07 pm,JSWSTEEL,Largecap,Metals
06-01-2025 12:07 pm,KOTAKBANK,Largecap,Bank
06-01-2025 12:07 pm,TATAELXSI,Largecap,I.T
06-01-2025 12:07 pm,ACC,Largecap,Industrials
06-01-2025 12:07 pm,AMBUJACEM,Largecap,Industrials
06-01-2025 12:07 pm,TATACHEM,Largecap,Industrials
06-01-2025 12:07 pm,TATACONSUM,Largecap,FMCG
06-01-2025 12:07 pm,SUPREMEIND,Largecap,FMCG
06-01-2025 12:07 pm,CANFINHOME,Midcap,Finance
06-01-2025 12:07 pm,MOTHERSON,Largecap,Auto
06-01-2025 12:07 pm,HAVELLS,Largecap,FMCG
06-01-2025 12:07 pm,PIIND,Largecap,Industrials
06-01-2025 12:07 pm,IPCALAB,Largecap,Pharmaceuticals
06-01-2025 12:07 pm,SUNPHARMA,Largecap,Pharmaceuticals
06-01-2025 12:07 pm,NMDC,Largecap,Industrials
06-01-2025 12:07 pm,IEX,Midcap,Financial Services
06-01-2025 12:07 pm,BANKINDIA,Largecap,Bank
06-01-2025 12:07 pm,BSOFT,Midcap,I.T
06-01-2025 12:07 pm,PNB,Largecap,Bank
06-01-2025 12:07 pm,NAVINFLUOR,Midcap,Industrials
06-01-2025 12:07 pm,ULTRACEMCO,Largecap,Industrials
06-01-2025 12:07 pm,PFC,Largecap,Finance
06-01-2025 12:07 pm,POWERGRID,Largecap,Miscellaneous
06-01-2025 12:07 pm,RECLTD,Largecap,Finance
06-01-2025 12:07 pm,BAJAJFINSV,Largecap,Finance
06-01-2025 12:07 pm,NHPC,Largecap,Miscellaneous
06-01-2025 12:07 pm,JUBLFOOD,Largecap,Quick Service Restaurant
06-01-2025 12:07 pm,GUJGASLTD,Largecap,Industrials
06-01-2025 12:07 pm,ALKEM,Largecap,Pharmaceuticals
06-01-2025 12:07 pm,LTIM,Largecap,I.T
06-01-2025 12:07 pm,ICICIPRULI,Largecap,Services
06-01-2025 12:08 pm,ABCAPITAL,Largecap,Finance
06-01-2025 12:08 pm,ADANIPORTS,Largecap,Industrials
06-01-2025 12:08 pm,OIL,Largecap,Oils
06-01-2025 12:08 pm,APLAPOLLO,Largecap,Metals
06-01-2025 12:10 pm,TITAN,Largecap,Miscellaneous
06-01-2025 12:10 pm,HEROMOTOCO,Largecap,Auto
06-01-2025 12:10 pm,MRF,Largecap,Auto
06-01-2025 12:10 pm,NCC,Midcap,Realty
06-01-2025 12:10 pm,GNFC,Midcap,Industrials
06-01-2025 12:10 pm,HINDUNILVR,Largecap,FMCG
06-01-2025 12:10 pm,WIPRO,Largecap,I.T
